N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
80,삼성증권,"46,450",50,-0.11%,"5,000","41,480","89,300",30.15,"122,622",4.54,9.89,
81,유한양행,"58,800",700,-1.18%,"1,000","41,144","69,973",18.14,"87,431",42.76,11.06,
82,아모레G,"49,400",100,-0.20%,500,"40,734","82,458",16.90,"81,960",31.46,0.31,
83,삼성카드,"34,100",50,+0.15%,"5,000","39,508","115,859",7.98,"84,600",8.62,5.69,
84,쌍용C&E,"7,820",20,-0.26%,100,"39,402","503,860",3.56,"261,044",25.23,7.92,
85,팬오션,"7,290",10,-0.14%,"1,000","38,970","534,570",11.73,"3,806,099",22.36,3.25,
86,한진칼,"57,800","2,000",-3.34%,"2,500","38,575","66,739",14.78,"65,614",-39.45,-19.55,
87,두산밥캣,"38,350",250,+0.66%,500,"38,446","100,249",25.81,"73,974",10.09,6.15,
88,한미사이언스,"56,400","1,100",-1.91%,500,"37,960","67,305",1.69,"66,499",124.23,3.47,
89,삼성중공업,"6,020",130,-2.11%,"1,000","37,926","630,000",14.02,"1,764,488",-2.64,-33.06,
90,한솔케미칼,"334,500","1,000",+0.30%,"5,000","37,916","11,335",41.95,"61,516",26.63,24.50,
91,OCI,"154,500","6,500",-4.04%,"5,000","36,847","23,849",20.75,"279,122",127.27,-9.89,
92,메리츠화재,"29,650",600,-1.98%,500,"35,765","120,625",10.75,"80,620",6.77,16.91,
93,호텔신라,"90,400","2,000",+2.26%,"5,000","35,480","39,248",16.77,"657,043",-27.49,-36.74,
94,NH투자증권,"12,600",50,+0.40%,"5,000","35,458","281,409",18.66,"285,471",4.49,10.32,
95,GS건설,"40,850",700,-1.68%,"5,000","34,960","85,581",26.33,"196,400",10.78,7.68,
96,CJ대한통운,"150,000","1,000",-0.66%,"5,000","34,219","22,812",22.73,"19,728",98.30,3.89,
97,롯데지주,"32,400",400,-1.22%,200,"33,991","104,909",8.18,"74,048",46.29,-3.03,
98,GS리테일,"32,300",250,+0.78%,"1,000","33,824","104,718",9.67,"126,619",17.73,7.50,
99,KCC,"378,500","11,500",-2.95%,"5,000","33,635","8,886",14.29,"24,486",3.94,12.79,
100,현대차2우B,"91,600",100,+0.11%,"5,000","33,421","36,485",60.84,"30,154",6.64,N/A,
101,메리츠증권,"4,835",40,-0.82%,"1,000","32,962","681,731",14.32,"439,550",5.15,13.08,
102,신풍제약,"60,300","1,700",-2.74%,500,"31,950","52,985",7.79,"508,491","1,005.00",1.72,
103,SK케미칼,"270,500","5,500",+2.08%,"5,000","31,788","11,751",16.19,"178,239",34.37,30.49,
104,한화시스템,"16,650",450,-2.63%,"5,000","31,455","188,919",2.88,"622,142",18.06,9.35,
105,에스원,"82,200",400,-0.48%,500,"31,235","37,999",53.92,"14,130",21.31,10.48,
106,한화생명,"3,595",60,+1.70%,"5,000","31,224","868,530",8.08,"3,197,240",5.70,1.90,
107,두산퓨얼셀,"47,550",450,-0.94%,100,"31,142","65,494",13.40,"317,487",792.50,4.18,
108,한국항공우주,"31,800","1,150",-3.49%,"5,000","30,997","97,475",13.37,"361,231",157.43,6.39,
109,한미약품,"256,500","2,000",-0.77%,"2,500","30,981","12,078",13.45,"14,939",134.15,1.65,
110,녹십자,"263,000","14,000",-5.05%,"5,000","30,736","11,687",21.49,"106,530",32.88,7.48,
111,포스코인터내셔널,"24,200",500,-2.02%,"5,000","29,857","123,375",8.92,"1,235,805",10.13,7.69,
112,효성첨단소재,"663,000","30,000",-4.33%,"5,000","29,702","4,480",14.22,"71,882",20.20,0.03,
113,BGF리테일,"170,000","3,500",-2.02%,"1,000","29,383","17,284",33.25,"7,502",20.94,18.60,
114,씨에스윈드,"68,800",800,+1.18%,500,"29,014","42,171",10.82,"242,174",48.79,8.19,
115,롯데쇼핑,"102,500",0,0.00%,"5,000","28,996","28,289",10.30,"34,205",-5.01,-7.70,
116,동서,"28,850",150,-0.52%,500,"28,763","99,700",3.20,"36,341",26.61,8.61,
117,CJ,"98,500",800,+0.82%,"5,000","28,739","29,177",17.76,"53,495",67.33,1.89,
118,BNK금융지주,"8,750",80,-0.91%,"5,000","28,519","325,935",39.38,"779,749",4.22,6.11,
119,더존비즈온,"92,400","2,900",+3.24%,500,"28,035","30,341",41.82,"98,715",45.03,15.09,
120,LG화학우,"364,500","5,500",-1.49%,"5,000","28,026","7,689",69.68,"3,305",9.82,N/A,
121,대우건설,"6,480",200,-2.99%,"5,000","26,932","415,623",11.80,"1,040,058",5.90,11.06,
122,키움증권,"102,500","1,000",-0.97%,"5,000","26,875","26,220",24.51,"48,214",2.75,27.63,
123,대우조선해양,"24,800",850,-3.31%,"5,000","26,608","107,291",6.76,"164,609",-1.83,2.27,
124,제일기획,"23,000",750,-3.16%,200,"26,459","115,041",32.88,"175,233",14.15,16.11,
125,효성티앤씨,"610,000","22,000",-3.48%,"5,000","26,399","4,328",23.35,"17,269",5.22,25.10,
126,한화,"34,900",100,-0.29%,"5,000","26,161","74,959",19.05,"371,258",6.71,4.79,
127,현대오토에버,"94,000","1,200",-1.26%,500,"25,779","27,424",1.93,"36,705",33.91,11.09,
128,신세계,"260,000","3,500",-1.33%,"5,000","25,597","9,845",27.28,"26,558",31.73,-2.81,
129,한샘,"107,500","4,000",-3.59%,"1,000","25,299","23,534",19.05,"63,078",30.43,10.83,
130,현대미포조선,"63,300","2,000",-3.06%,"5,000","25,283","39,942",11.06,"130,983",-13.92,-0.84,
131,만도,"53,500","1,600",-2.90%,"1,000","25,122","46,957",24.42,"124,833",10.59,0.37,
132,DL이앤씨,"129,500","4,000",-3.00%,"5,000","25,070","19,359",26.67,"61,767",N/A,N/A,
133,한화에어로스페이스,"49,050","3,150",-6.03%,"5,000","24,834","50,630",19.21,"469,344",9.49,4.78,
134,코오롱인더,"91,900","5,200",-5.36%,"5,000","24,794","26,979",21.86,"585,599",18.41,9.70,
135,현대로템,"22,700",750,-3.20%,"5,000","24,775","109,142",3.74,"798,681",72.99,2.84,
136,현대해상,"27,400",650,+2.43%,500,"24,496","89,400",27.23,"658,169",6.34,7.13,
137,휠라홀딩스,"39,750",850,-2.09%,"1,000","24,149","60,752",47.40,"183,303",10.02,10.94,
138,솔루스첨단소재,"78,400",700,+0.90%,100,"23,982","30,590",7.94,"443,847",-204.17,-5.10,
139,하이트진로,"33,950",50,-0.15%,"5,000","23,810","70,134",4.42,"182,273",33.98,8.23,
140,효성,"111,500",0,0.00%,"5,000","23,494","21,071",9.60,"19,816",15.22,-2.26,
